epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.973,1.54795,2.61183,1.2502,0.3551,0.24604,0.20502,0.12458,1.3844,2.71162,1.275,0.000661616,0.000661616,0.000661616
2,374.793,1.70544,2.22348,1.35316,0.23488,0.25468,0.13805,0.07534,1.58827,3.3859,1.46898,0.00130198,0.00130198,0.00130198
3,507.188,1.7484,2.04984,1.36016,0.45006,0.30851,0.29706,0.17669,1.53568,2.56753,1.37104,0.00191595,0.00191595,0.00191595
4,640.191,1.70196,1.9258,1.35244,0.47054,0.32806,0.31592,0.1837,1.47517,3.18992,1.33889,0.0018812,0.0018812,0.0018812
5,773.779,1.70504,1.86774,1.3869,0.50696,0.31655,0.31953,0.20432,1.43966,1.98757,1.30904,0.0018416,0.0018416,0.0018416
6,905.558,1.71735,1.83388,1.33264,0.49746,0.34388,0.33278,0.20976,1.41888,1.83864,1.25493,0.001802,0.001802,0.001802
7,1036.96,1.7022,1.89439,1.3614,0.4686,0.31974,0.29666,0.19179,1.4463,1.78932,1.28314,0.0017624,0.0017624,0.0017624
8,1168.51,1.64789,1.80368,1.32611,0.48471,0.31079,0.30479,0.18634,1.4661,2.12117,1.28722,0.0017228,0.0017228,0.0017228
9,1299.98,1.62795,1.7559,1.33812,0.53562,0.34676,0.36851,0.23825,1.38351,1.73813,1.25478,0.0016832,0.0016832,0.0016832
10,1431.45,1.61893,1.70322,1.29854,0.52127,0.32275,0.3469,0.22904,1.35069,1.72268,1.23148,0.0016436,0.0016436,0.0016436
11,1562.86,1.56782,1.68593,1.27195,0.47229,0.36691,0.35806,0.2286,1.38161,1.76774,1.22471,0.001604,0.001604,0.001604
12,1694.65,1.60779,1.67461,1.28152,0.57911,0.3741,0.39455,0.25643,1.32382,1.76313,1.22626,0.0015644,0.0015644,0.0015644
13,1826.33,1.5548,1.66427,1.27547,0.51438,0.3482,0.34121,0.22641,1.31246,2.19193,1.19803,0.0015248,0.0015248,0.0015248
14,1957.73,1.58156,1.6427,1.26817,0.58625,0.36259,0.38955,0.25819,1.31516,1.62076,1.20732,0.0014852,0.0014852,0.0014852
15,2089.22,1.53528,1.60521,1.25249,0.56927,0.38984,0.40571,0.26171,1.34684,1.61279,1.23679,0.0014456,0.0014456,0.0014456
16,2220.65,1.48195,1.57347,1.23963,0.56228,0.35252,0.37181,0.24895,1.26531,1.76609,1.18479,0.001406,0.001406,0.001406
17,2352.1,1.53223,1.61171,1.24775,0.58437,0.37698,0.39736,0.26844,1.32108,1.72071,1.19803,0.0013664,0.0013664,0.0013664
18,2483.71,1.50292,1.55498,1.24724,0.5406,0.39112,0.39676,0.26267,1.2837,1.60553,1.20314,0.0013268,0.0013268,0.0013268
19,2615.02,1.49968,1.52268,1.22188,0.61881,0.37122,0.40822,0.27623,1.2349,1.49038,1.17186,0.0012872,0.0012872,0.0012872
20,2746.51,1.48659,1.52947,1.22533,0.53819,0.3907,0.39717,0.27144,1.27489,1.55118,1.17016,0.0012476,0.0012476,0.0012476
21,2877.95,1.46639,1.50538,1.22347,0.55588,0.37986,0.40814,0.27832,1.24056,1.47342,1.16012,0.001208,0.001208,0.001208
22,3009.52,1.46346,1.48234,1.19922,0.66304,0.35396,0.40607,0.27189,1.28701,1.63862,1.18077,0.0011684,0.0011684,0.0011684
23,3140.86,1.50283,1.52991,1.21835,0.61789,0.36547,0.40704,0.2727,1.25635,1.49127,1.16226,0.0011288,0.0011288,0.0011288
24,3272.38,1.42008,1.4358,1.18718,0.56087,0.40863,0.40933,0.2731,1.22322,1.53713,1.15973,0.0010892,0.0010892,0.0010892
25,3403.85,1.41729,1.42304,1.18349,0.66281,0.38561,0.43524,0.29358,1.21377,1.48416,1.14857,0.0010496,0.0010496,0.0010496
