epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.245,1.38936,3.17202,1.32807,0.29393,0.20863,0.15074,0.08678,1.45906,3.91478,1.45615,0.000664132,0.000664132,0.000664132
2,601.761,1.5872,2.6487,1.45313,0.38807,0.3295,0.28542,0.17358,1.58414,2.61946,1.46812,0.00131323,0.00131323,0.00131323
3,903.869,1.59774,2.33245,1.467,0.43564,0.3036,0.28487,0.17692,1.51979,2.40391,1.42371,0.00194473,0.00194473,0.00194473
4,1205.5,1.68734,2.26,1.51931,0.47842,0.29209,0.29336,0.18828,1.51251,2.1363,1.41947,0.0019208,0.0019208,0.0019208
5,1506.51,1.62277,2.15823,1.47692,0.37499,0.34964,0.28851,0.17895,1.53898,2.35273,1.40357,0.0018944,0.0018944,0.0018944
6,1808.33,1.59326,2.02475,1.44724,0.46604,0.31942,0.31397,0.19513,1.45639,2.12931,1.40572,0.001868,0.001868,0.001868
7,2104.97,1.56494,1.99344,1.44119,0.45008,0.32518,0.31627,0.20748,1.45513,2.08974,1.37328,0.0018416,0.0018416,0.0018416
8,2397.37,1.50347,1.89883,1.39781,0.53416,0.34388,0.34427,0.21985,1.41963,2.08795,1.36163,0.0018152,0.0018152,0.0018152
9,2689.39,1.54612,1.96659,1.43266,0.61063,0.31367,0.36172,0.23257,1.42071,1.86493,1.35193,0.0017888,0.0017888,0.0017888
10,2981.49,1.50652,1.89345,1.39553,0.54736,0.33233,0.35265,0.2311,1.36269,1.81615,1.30672,0.0017624,0.0017624,0.0017624
11,3273.62,1.48214,1.88019,1.39806,0.4629,0.33525,0.33126,0.21744,1.35171,1.86811,1.32235,0.001736,0.001736,0.001736
12,3565.93,1.45629,1.81655,1.36888,0.66357,0.32086,0.36713,0.24819,1.33875,1.74698,1.30823,0.0017096,0.0017096,0.0017096
13,3857.93,1.42825,1.79894,1.35516,0.59908,0.33237,0.37703,0.24733,1.3861,1.78693,1.34292,0.0016832,0.0016832,0.0016832
14,4149.93,1.44663,1.74963,1.35532,0.64452,0.34174,0.37982,0.24945,1.35697,1.78116,1.29236,0.0016568,0.0016568,0.0016568
15,4442.15,1.39361,1.74325,1.31474,0.63814,0.30791,0.37333,0.25328,1.33529,1.72343,1.29126,0.0016304,0.0016304,0.0016304
16,4734.39,1.38789,1.76009,1.35073,0.59743,0.34964,0.39344,0.26857,1.32916,1.75092,1.28095,0.001604,0.001604,0.001604
17,5026.41,1.38144,1.74227,1.33188,0.59783,0.35506,0.40608,0.27806,1.31547,1.7441,1.29006,0.0015776,0.0015776,0.0015776
18,5317.67,1.34465,1.68672,1.31353,0.61289,0.35827,0.40493,0.27333,1.31897,1.64775,1.2912,0.0015512,0.0015512,0.0015512
19,5608.86,1.34064,1.65852,1.32637,0.53895,0.38273,0.38091,0.26472,1.28381,1.70312,1.26616,0.0015248,0.0015248,0.0015248
